row,task_for,seg_id,stname,lanes,divided_roadway,bike_lane_type_simple,parking,sidewalk_status,check_year,curb_to_curb_width,traffic_lanes_width,shoulder_width,notes
165,Demi,620252,W ALLEGHENY AVE,3,FALSE,Painted,Both sides,Both sides,,50,30,0,
166,Demi,620088,W ALLEGHENY AVE,2,FALSE,Painted,Both sides,Both sides,2022,51,29,0,
167,Demi,521510,W SEDGLEY AVE,2,FALSE,None,None,One side,,34,34,0,
168,Demi,642005,W SEDGLEY AVE,3,FALSE,Painted,Both sides,Both sides,,61,34,12,
169,Demi,540066,N 5TH ST,2,FALSE,None,One side,Both sides,,37,20,0,
170,Demi,641669,W SEDGLEY AVE,2,FALSE,None,Both sides,One side,,35,20,0,
171,Demi,641855,N HOWARD ST,1,FALSE,None,Both sides,Both sides,,26,14,0,
172,Demi,641764,MASCHER ST,1,FALSE,None,Both sides,Both sides,,27,14,0,
173,Demi,641710,W TIOGA ST,1,FALSE,None,Both sides,Both sides,,26,14,0,
174,Demi,641822,W ONTARIO ST,1,FALSE,None,Both sides,Both sides,,27,14,0,
175,Demi,641720,W TIOGA ST,1,FALSE,None,Both sides,Both sides,,26,14,0,
176,Demi,641628,MASCHER ST,1,FALSE,None,Both sides,Both sides,,27,19,0,
177,Demi,642037,MASCHER ST,1,FALSE,None,Both sides,Both sides,,27,14,0,
178,Demi,642053,N HOWARD ST,1,FALSE,None,Both sides,Both sides,,27,14,0,
179,Demi,641843,W ONTARIO ST,1,FALSE,None,Both sides,Both sides,,27,14,0,
180,Demi,540177,N 2ND ST,2,FALSE,None,None,Both sides,,35,20,15,
181,Demi,642348,E ALLEGHENY AVE,3,FALSE,Painted,One side,Both sides,,61,31,0,
182,Demi,642396,E ALLEGHENY AVE,3,FALSE,Painted,Both sides,Both sides,,61,32,0,
183,Demi,642415,E ALLEGHENY AVE,3,FALSE,Painted,Both sides,Both sides,,61,24,0,
184,Demi,540435,E ALLEGHENY AVE,3,FALSE,Painted,Both sides,Both sides,,60,31,0,
185,Demi,642162,E TIOGA ST,2,FALSE,None,Both sides,Both sides,,39,23,0,
186,Demi,660058,BRIDGE ST,2,FALSE,None,Both sides,Both sides,,44,29,0,
187,Demi,660105,RICHMOND ST,2,FALSE,None,Both sides,Both sides,,35,22,0,
188,Demi,500153,N 63RD ST,2,FALSE,None,Both sides,Both sides,,42,24,0,
189,Demi,500383,LANCASTER AVE,2,FALSE,Painted,Both sides,Both sides,,50,24,0,
190,Demi,520117,BELMONT AVE,4,FALSE,None,None,Both sides,,50,42,8,
191,Demi,521388,GREENLAND DR,2,FALSE,None,None,One side,,42,21,21,
192,Demi,520102,N 33RD ST,2,FALSE,Painted,Both sides,Both sides,,47,20,0,
193,Demi,520923,N 29TH ST,2,FALSE,None,Both sides,Both sides,,42,20,0,
194,Demi,520651,N 29TH ST,2,FALSE,None,Both sides,Both sides,,44,20,0,
195,Demi,520077,W DAUPHIN ST,2,FALSE,None,One side,Both sides,,26,21,0,
196,Demi,520829,N 22ND ST,2,FALSE,None,Both sides,Both sides,,35,28,0,
197,Demi,522342,DIAMOND ST,2,FALSE,None,Both sides,Both sides,,44,20,0,
198,Demi,521369,W YORK ST,1,FALSE,None,None,Both sides,,26,26,0,
199,Demi,520850,W GLENWOOD AVE,2,FALSE,None,One side,Both sides,,35,35,0,
200,Demi,541050,N 13TH ST,2,FALSE,None,None,Both sides,,26,26,0,
201,Demi,540674,W LEHIGH AVE,3,FALSE,Painted,Both sides,Both sides,,54,32,0,
202,Demi,540601,W LEHIGH AVE,3,FALSE,Painted,Both sides,Both sides,,53,20,0,
203,Demi,541292,N 12TH ST,2,FALSE,None,None,Both sides,,26,26,0,
204,Demi,541720,N AMERICAN ST,2,FALSE,Separated,Both sides,Both sides,,84,20,0,
205,Demi,540773,N 6TH ST,2,FALSE,None,None,Both sides,,30,20,0,
